Id,Label,Role,Community,support_given,support_received,activity
KapudS640,KapudS640,korban,0,0,4,4
_mabskuy,_mabskuy,penolong,3,3,0,3
sbyfess,sbyfess,korban,2,0,3,3
tanyakanrl,tanyakanrl,korban,4,0,3,3
blueescnry,blueescnry,korban,1,0,3,3
kenhans03,kenhans03,korban,13,0,2,2
afrkml,afrkml,keduanya,12,1,1,2
DravenweX,DravenweX,korban,18,0,2,2
tanyarlfes,tanyarlfes,korban,10,0,2,2
19BROMAN,19BROMAN,korban,15,0,2,2
Malesinah_,Malesinah_,korban,5,0,2,2
Bersajak_id,Bersajak_id,penolong,5,2,0,2
Ceysa_ku,Ceysa_ku,korban,8,0,2,2
idextratime,idextratime,korban,16,0,2,2
kejaaanaaa,kejaaanaaa,korban,9,0,2,2
Kemangilly,Kemangilly,keduanya,6,1,1,2
KaripapJamur,KaripapJamur,penolong,6,2,0,2
piqhipiqs,piqhipiqs,penolong,1,2,0,2
Anak__Ogi,Anak__Ogi,korban,14,0,2,2
haluandotco,haluandotco,korban,11,0,2,2
Mangga1111,Mangga1111,korban,17,0,2,2
vyowiz_,vyowiz_,keduanya,7,1,1,2
nanassenak11,nanassenak11,penolong,98,1,0,1
garismerah_id,garismerah_id,korban,87,0,1,1
meeningroutin,meeningroutin,korban,97,0,1,1
urvdoy23,urvdoy23,korban,98,0,1,1
ratihpram_artha,ratihpram_artha,penolong,99,1,0,1
Akiraa_bloom8,Akiraa_bloom8,penolong,97,1,0,1
soursallyye,soursallyye,korban,96,0,1,1
AemiliusPaullus,AemiliusPaullus,korban,106,0,1,1
panTelocvikar,panTelocvikar,penolong,106,1,0,1
MeteorPanas,MeteorPanas,korban,92,0,1,1
mtwp25,mtwp25,penolong,92,1,0,1
krasny_tomas,krasny_tomas,penolong,105,1,0,1
saneemiaw,saneemiaw,korban,104,0,1,1
cuyinism,cuyinism,penolong,104,1,0,1
Dyanasthasia,Dyanasthasia,korban,103,0,1,1
Ditaddicted,Ditaddicted,penolong,103,1,0,1
flowwy85180725,flowwy85180725,penolong,101,1,0,1
wyomoth,wyomoth,penolong,102,1,0,1
suckzeter,suckzeter,korban,5,0,1,1
eri_reverie,eri_reverie,penolong,4,1,0,1
LelurAgus19160,LelurAgus19160,korban,101,0,1,1
zoelfick,zoelfick,penolong,96,1,0,1
Dahriwelah,Dahriwelah,korban,100,0,1,1
belighthyun,belighthyun,penolong,100,1,0,1
