id_str,topic,topic_name,score,text_lexical
2060635989002064100,-1,Tidak Spesifik,0,dunia sekarang makin tua makin sadar kalau perlu membuktikan apa kerjakan orang hidup tenang validasi orang rasanya luar biasa banget jadi fokus memperbaiki dirimu sendiri jaga kesehatan sayangi orang orang terdekat the
2060631056676474937,-1,Tidak Spesifik,0,dal st m minulosti se uzdravuje nen snadn p e t den kdy je lov k v depresi ale jde to a to p edev m d ky skv l m lidem tady na twitteru to va e modlitby a podpora mi pomohly j t na operaci s j cnem a zvl dnout i dal dny na ulici bez chlastu znovu d kuju a
2060629568197644389,0,Tekanan Akademik,2,dear mahasiswa baru semua organisasi layak diikuti banyak akhirnya cuma bikin kalian depresi terminalmojok
2060619682751861080,-1,Tidak Spesifik,0,umur tahun keatas kepikiran buat bunuh diri keren
2060617413885088014,-1,Tidak Spesifik,0,pernah waktu ngajak ngedate tempat angker orang bunuh diri anjeng makan batagor nonton nadia omara bukan masalah makan batagor sama nonton nadia omara nya masalah nya aku takut berakhir minum bandrek seru sih deh galagi
2060616084630196591,-1,Tidak Spesifik,0,nojo ale zase na druhou stranu hodni levicaci nabidnou zene eutanazii aby se chudinka nemusela tr pit depresi a jeste jeji organy zachrani zivot nekomu dalsimu ne asi
2060609352998990007,-1,Tidak Spesifik,0,mauu bunuh diri pls jasa curhat zonauang
2060607916693180633,0,Tekanan Akademik,2,sering kagum sekolah tempatku sekarang sekolah swasta sangat memperhatikan guru gurunya ngawas ujian dikasi kue dulu awal awal karier aku mengajar sekolah negeri hari bikin depresi jadi perlakuan begini bikin takjub
2060606094528111078,5,Lingkungan/Sosial,1,barusan denger berita temen mau bunuh diri gagal skrang rs dada rasanya ditusuk nyangka ngerti bagaimana inget semuanya hidup km berharga sekarang rasany gelap banget ngobrol jangan dipendem sendiri nangis apa apa lemah apa apa penting jangan sendirian
2060591768878641372,-1,Tidak Spesifik,0,potret orang depresi
2060591234234933379,-1,Tidak Spesifik,0,sumpah aku bunuh diri baca tweetnya
2060584873811976287,3,Percintaan,1,orang cinta seni mati matian buat ngelawan ai karya peranan mulai tergantikan malah bunuh diri pakai ai terus buat apa kamu ngehasilin karya kalau hasil generate bakalan bunuh kamu dimasa depan v
2060581066977800567,0,Tekanan Akademik,1,nahas banget gen z angkatan w jaman sma kuliah awal covid pas lulus abis stres skripsian malah disuguhin market kerjaan makin ancur sengawur ngawurnya si mah kalau gen z depresi emg golongan punya privilese didiagnosa profesional aja
2060568350477160626,-1,Tidak Spesifik,0,aku muncul begini kalau stres berat ato fase depresi sekujur tubuh malah gatel sama sekali kata psikiaterku normal mengingat aku illness kalau fasenya lewat hilang sendiri coba sender inget dulu kemarin
2060566780469453088,-1,Tidak Spesifik,0,i know sometimes i act rude to everyone but please don t take it to heart idk why aku gampang banget marah kalau tekanan mental so i prefer to isolate myself from everyone i know it s not an excuse so i want to apologize to everyone thank you love yall
2060566459827556673,0,Tekanan Akademik,1,global diperkirakan satu tujuh anak usia tahun mengalami gangguan mental indonesia meskipun data komprehensif terbatas laporan berbagai lembaga kesehatan menunjukkan peningkatan kasus gangguan kecemasan depresi anak usia sekolah
2060566184811258163,-1,Tidak Spesifik,0,setuju masbro bunuh diri nyelesaian mslh malah jadi mslh lbh besar dlm konteks islam
2060559967053320530,-1,Tidak Spesifik,0,buletinbernama mengabdikan diri alam semula jadi kini dilihat pendekatan berkesan menangani tekanan mental emosi digitalbernamatv laporankhas alamsemulajadi terapi tekanan glamping
2060559752254627872,-1,Tidak Spesifik,0,south korea yapping ngatain latin america punya kulit kotor sawo matang lipatan matanya tebel mirip asia tenggara bawa asean padahal cewek cuma bilang punya natural aegyo sal make up korea isinya kalau rasis pelecehan bunuh diri kayaknya
2060559518774497647,-1,Tidak Spesifik,0,series spider noir langsung ngebuktiin kalau penonton sebenernya jenuh sama formula superhero mcu terlalu warna warni ketergantungan sama cgi multiverse pendekatan gritty street level kriminal tahun an justru penyegaran butuhin
2060559333079785591,-1,Tidak Spesifik,0,no salty pls self diagnose kalau depresi aku ngerasa tenaga buat gerak rasanya cuma mau tidur terus tenaga buat mandi makan berhari hari bagaimana baik baik difase lelah banget sama hidup
2060558390871593381,-1,Tidak Spesifik,0,panik takut tangannya dipotong maling terkencing kencing hingga berak celana papua sebuah rekaman video amatir mendadak viral media sosial memperlihatkan aksi menggelikan sekaligus tragis seorang terduga pelaku pencurian maling pria tersebut
2060550482888896782,1,Masalah Keluarga,1,setuju sama mamanya sih kalau aku krn generasi muda kini lbh ngutamain seneng beli mikirin masa depan anak cucu pnyaa anak banyak da tabungan gaya hidup tinggi sekalinya miskin dikit langsung bingung depresi imbasnya anak nya
2060532474783187442,-1,Tidak Spesifik,0,krg setuju perikarditis tanda pr depresi grafik ekgnya efusi perikard sprtnya bukan biasanya gambarannya low voltage kemungkinan infarc cek troponin
2060528024404348988,0,Tekanan Akademik,1,orang olahraga pagi ui ujian depresi banget
2060523961306505677,-1,Tidak Spesifik,0,motor parkir bukan mau bunuh diri yaa orangnya mancing d bawahh
2060500751160578162,-1,Tidak Spesifik,0,hahahaha fuck you anjing kalau aku bunuh diri lempar lauut
