rank,confidence,evidence_score,text,evidence
1,0.96,0.77,"@kejaaanaaa egiluy gue jg mikir gt co, tpi tetep aja si gue nangis 1 jam, 1 jam lgi mikir bundir enaknya pake apaan🤑",Indikasi Krisis|Keputusasaan|Gangguan Fungsi|Tekanan Emosional|Permintaan Bantuan
2,0.94,0.73,"@19BROMAN Kadang aku mikir kok mau ya bundir kan ga langsung mati pasti lewatin namanya sakit dlu, kejedot pintu aja sakit aplg ini kena batu. Ini alasan aku seputus asa apapun ga milih bundir. Aku takut sakit",Indikasi Krisis|Keputusasaan|Tekanan Emosional
3,0.93,0.71,Barusan denger berita temen mau bundir tp gagal skrang di RS  Dada rasanya ditusuk ga nyangka ga ngerti harus gimana🥲 Inget ya semuanya💫  Hidup km berharga🫵 Walau sekarang rasany gelap banget Ngobrol ya🫂 Jangan dipendem sendiri Nangis gpp Lemah gpp yg penting jangan sendirian https://t.co/5NiL9RyGxX,Indikasi Krisis|Keputusasaan|Gangguan Fungsi|Tekanan Emosional
4,0.92,0.7,@aku_fiv Bundir yok,Indikasi Krisis|Keputusasaan|Gangguan Fungsi|Tekanan Emosional|Permintaan Bantuan
5,0.92,0.7,"@lrstdw_ @sbyfess Mbaa suwun bangettt sudah turut membuka mataku, BENER TENANN. Ex aku pas putus self harm ngancem bundir sampe nangis2 depan maknya, taunya sekarang masih idup dan lanjut folo cewe random WKWKWKKWKWKWWK.",Indikasi Krisis|Keputusasaan|Tekanan Emosional|Permintaan Bantuan
6,0.92,0.69,"Tunggu sampe lu dapet yang begini. Udah ngelakuin apapun yang gw bisa juga dianggapnya tetep kurang, masih ga considerate, gw yang harus paham terus. Mending bundir ege lama-lama. Lu mah enak ngetik doang. Segala hal yang terlalu diitu-itukan ga baik ege. 😂",Indikasi Krisis|Keputusasaan|Gangguan Fungsi|Tekanan Emosional|Permintaan Bantuan
7,0.92,0.69,"guys maaf ngecewain bgt, trnyata skor utbk ku ga nyampe 500.... 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 aku gatau skrg gmn aku kyknya bnrn mau bundir 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",Indikasi Krisis|Keputusasaan|Tekanan Emosional|Permintaan Bantuan
8,0.91,0.69,"hmdeeehhhh udh mclaren ga bener, snbt ga lolos apa gw bundir aja abis ini apa gmn hmzz.. lengkap udh penderitaan gw https://t.co/Vv3v32RxPx",Indikasi Krisis|Keputusasaan|Tekanan Emosional|Permintaan Bantuan
9,0.91,0.68,"tiba"" pengen bundir,tiba"" capek pengen nyerah,tapi tiba"" keinget kalo bundir dosa,tiba"" keinget kalo nanti malem wu mau tayang,tiba"" keinget belum bahagiain orang tua,sakit banget kepala ini",Indikasi Krisis|Keputusasaan|Tekanan Emosional
10,0.91,0.68,"Menang dari judol, taunya malah habis. Anjir aku udh putus asa harus gimana lagi ya, rumah dibayarnya tgl 12. Jadi skrg tuh yang harus dibayar ada 8jt. Sumpah ya masa aku harus bundir gara-gara ini. Mana mau nikah pula bulan Oktober. Sumpah aku gk bohong. Bakal dicicil kalo ada.",Indikasi Krisis|Keputusasaan
